GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Population 16 years and over with earnings - Median earnings (dollars),Total; Margin of Error; Population 16 years and over with earnings - Median earnings (dollars),Male; Estimate; Population 16 years and over with earnings - Median earnings (dollars),Male; Margin of Error; Population 16 years and over with earnings - Median earnings (dollars),Female; Estimate; Population 16 years and over with earnings - Median earnings (dollars),Female; Margin of Error; Population 16 years and over with earnings - Median earnings (dollars),"Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)",Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Male; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Male; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Female; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Female; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months
3100000US10180,10180,"Abilene, TX Metro Area",83120,2334,44886,1425,38234,1824,21816,1200,28742,3206,17438,1679,47084,2143,28798,1566,18286,1656,2.6,1.1,2.4,1.3,2.7,2.2,6.2,1.9,4.5,2.2,8.9,3.2,25.3,3.7,20.3,4.0,33.3,5.5,19.0,2.9,14.2,3.3,26.6,5.4,21.1,3.1,24.2,4.0,16.2,4.1,12.3,2.5,16.0,3.8,6.6,2.2,4.9,1.5,6.0,2.0,3.1,2.3,5.0,1.7,6.7,2.5,2.2,1.5,3.6,1.6,5.6,2.5,0.3,0.5,(X),(X),38657,3549,26213,1365,41549,4626,48588,7151,30464,2144,27504,1810,36464,1865,21137,1298,19399,4278,24183,5407,9905,5541,22314,3229,31959,4302,18209,2152,28183,3216,40716,5379,21402,2264,36717,2756,42520,7192,34336,4225,55799,15654,57339,20011,44737,21779,16.4,(X),(X),(X),(X),(X)
3100000US10420,10420,"Akron, OH Metro Area",389333,4806,200947,2947,188386,3682,28531,1340,35521,1075,22142,746,224795,5025,129790,3697,95005,3565,1.9,0.4,1.6,0.6,2.2,0.6,4.0,0.7,2.9,0.9,5.5,1.0,15.1,1.5,10.9,1.7,20.8,1.9,20.1,1.3,17.1,1.7,24.2,2.0,23.3,1.4,23.0,1.5,23.7,2.5,15.2,1.1,17.7,1.5,11.7,1.5,5.1,0.7,6.4,1.1,3.4,0.9,7.3,0.9,8.7,1.2,5.2,1.2,8.0,0.8,11.5,1.3,3.3,0.9,(X),(X),45617,1027,33646,1208,51402,1395,59696,2214,40071,1367,33140,1002,41457,1081,26374,809,17241,1780,21233,3809,13975,3368,27814,1595,34436,1922,21097,1224,31285,1004,38416,2490,25550,1556,46323,1848,57102,3940,35092,2778,58521,3042,68556,7402,51732,3439,11.3,(X),(X),(X),(X),(X)
3100000US10500,10500,"Albany, GA Metro Area",79924,3670,40091,2442,39833,2271,22788,1495,30013,1991,17161,1274,44176,3130,24830,2172,19346,1723,1.6,0.9,1.6,1.2,1.6,1.3,6.5,2.2,3.5,1.9,10.3,3.7,25.0,3.6,19.3,3.9,32.4,6.2,25.2,3.7,24.9,5.1,25.7,5.1,17.8,3.0,19.5,4.4,15.6,4.3,10.8,2.3,12.4,3.4,8.6,3.4,5.5,1.5,7.3,2.6,3.2,1.8,4.2,1.7,6.2,2.5,1.7,1.4,3.4,1.1,5.3,1.8,0.8,0.8,(X),(X),35562,3759,26310,1483,39740,2742,46176,4044,31480,2452,26715,1405,31964,1051,21007,1528,16585,2559,26747,7332,11971,2483,23101,1964,27042,4286,17562,1879,27502,3524,34079,3743,22210,2640,34875,14606,51030,27654,27203,3078,50228,7514,61626,8831,46557,8823,18.1,(X),(X),(X),(X),(X)
3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",494128,5020,253841,3059,240287,3661,31376,588,37325,1111,26053,918,285507,5438,162080,4001,123427,4197,0.9,0.3,0.8,0.4,0.9,0.4,2.8,0.5,2.4,0.7,3.4,0.8,13.5,1.1,9.8,1.1,18.3,2.1,17.6,1.4,14.3,1.4,21.9,2.1,23.4,1.3,23.4,1.7,23.4,1.9,17.0,1.3,18.4,1.7,15.3,1.8,7.4,0.7,8.5,0.9,6.0,1.0,9.1,0.8,10.4,1.2,7.5,1.1,8.3,0.8,12.0,1.3,3.4,0.8,(X),(X),49397,1540,37602,1564,54165,1232,62241,2069,43562,1038,38161,1268,44183,1303,31709,728,20502,1693,23131,3963,18625,1746,30106,1048,35268,1698,23922,1869,35905,1259,41957,803,30936,1137,50106,2376,60484,2383,40905,1116,60068,2946,74418,4269,50305,1591,13.6,(X),(X),(X),(X),(X)
3100000US10740,10740,"Albuquerque, NM Metro Area",449075,6598,237489,3808,211586,4497,26610,675,30789,860,22542,992,252532,7160,144453,5267,108079,4180,2.4,0.6,2.0,0.6,2.9,0.9,4.9,0.8,4.0,1.0,6.0,1.1,18.6,1.4,16.2,2.0,21.8,2.0,21.3,1.7,19.2,2.1,24.1,2.3,21.1,1.4,21.0,1.8,21.1,2.2,13.1,1.0,14.7,1.4,11.0,1.6,5.1,0.8,5.9,1.0,4.1,1.0,6.6,0.8,7.4,0.9,5.6,1.3,6.9,0.7,9.5,0.9,3.4,0.8,(X),(X),40060,1088,32215,853,46913,1304,52069,1906,40023,1435,31262,575,35606,1317,27019,902,17331,1322,21644,1475,10956,1349,25773,1154,28865,2495,22834,1579,31260,1162,37808,2475,26754,1165,40033,1622,46693,3431,34089,3226,52159,2508,65839,6958,45839,2713,11.8,(X),(X),(X),(X),(X)
3100000US10780,10780,"Alexandria, LA Metro Area",72773,1918,37168,1227,35605,1421,24485,1505,32401,2176,20304,959,42871,2095,22953,1466,19918,1359,3.0,1.3,1.3,1.2,4.9,2.5,9.1,1.6,6.5,2.5,12.1,2.7,23.4,2.4,16.5,3.7,31.4,3.8,18.6,2.6,16.4,2.7,21.2,4.1,20.2,3.1,23.8,4.7,16.0,3.6,12.6,2.1,15.8,3.0,9.0,2.7,3.5,1.1,5.2,1.9,1.6,0.8,4.9,1.1,7.0,1.9,2.6,1.2,4.6,1.4,7.5,2.4,1.2,0.8,(X),(X),39595,2819,25533,1271,40361,2078,48570,3331,30901,1761,28620,2809,36415,1477,22076,1111,16193,2847,23189,2377,9847,2195,22936,2068,35133,3344,16768,1106,28214,2925,38354,3495,22993,1871,36715,3036,49215,14078,34696,2204,50625,5126,53906,9010,42917,8904,12.3,(X),(X),(X),(X),(X)
3100000US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",450574,4780,238368,2767,212206,3880,30324,574,38374,1688,23117,910,262479,4969,157943,3400,104536,3468,1.5,0.5,1.2,0.4,1.9,0.7,3.0,0.6,2.3,0.7,4.0,1.0,14.3,1.2,10.6,1.3,19.9,2.1,19.4,1.3,15.4,1.5,25.5,2.1,22.5,1.4,22.9,1.8,21.8,2.3,16.4,1.1,18.1,1.4,13.9,1.7,5.6,0.7,6.5,0.9,4.2,0.8,8.5,1.0,10.7,1.2,5.0,1.0,8.9,0.6,12.3,1.0,3.7,0.9,(X),(X),47498,1655,34169,1691,51979,1069,59255,1568,40986,1277,35201,824,43606,2017,27239,703,19236,1837,22470,2941,14236,3901,30040,999,37989,2763,21776,792,34378,1709,44895,3902,28017,1498,47790,2291,59077,4428,37052,2439,61886,2066,80254,4850,49783,4595,11.6,(X),(X),(X),(X),(X)
3100000US11020,11020,"Altoona, PA Metro Area",66208,1757,34990,993,31218,1359,25349,1563,30724,1935,20079,2076,36548,1988,21669,1293,14879,1341,0.9,0.5,0.8,0.8,1.0,0.8,5.4,1.9,4.1,2.3,7.2,3.1,20.0,2.9,15.7,3.2,26.4,5.1,23.1,3.4,19.4,3.6,28.5,5.9,24.8,2.8,27.1,3.6,21.4,4.9,14.6,2.7,17.4,3.7,10.5,3.4,4.3,1.5,5.4,2.2,2.7,1.8,4.0,1.3,5.8,2.1,1.3,1.2,3.0,1.2,4.2,2.1,1.1,1.0,(X),(X),38916,4473,29797,1681,42222,3197,48014,5013,33787,1975,29331,1735,35368,2369,23646,2784,11595,5868,20138,11748,8004,3853,27186,2332,32139,3884,20779,2004,27887,1877,33722,4698,24117,4809,41694,3783,50988,7598,35338,4881,54005,6682,57426,21044,44109,14506,9.1,(X),(X),(X),(X),(X)
3100000US11100,11100,"Amarillo, TX Metro Area",130218,2628,70052,1881,60166,1869,24096,1578,27450,2177,20167,1471,82158,3246,49568,2533,32590,2008,3.3,1.3,3.0,1.7,3.8,1.9,7.5,1.9,5.6,2.3,10.5,2.7,25.4,3.0,22.5,3.7,29.7,4.9,19.8,2.6,18.9,3.2,21.3,3.7,17.3,2.6,17.4,3.0,17.2,3.4,12.4,1.9,14.4,2.4,9.4,2.4,2.9,0.9,3.6,1.4,1.9,1.0,5.2,1.1,6.5,1.6,3.2,1.5,6.1,1.5,8.1,2.0,3.1,1.5,(X),(X),35039,2698,27200,2698,43257,2395,49089,3242,34386,2150,28591,3428,34077,2606,22946,2327,21456,2050,24588,2172,16702,4302,24865,2095,30246,2788,16674,1575,30056,3808,36419,3312,24758,3158,40939,4919,51716,8921,36637,2875,52602,8304,74232,18139,42270,7102,12.8,(X),(X),(X),(X),(X)
3100000US11180,11180,"Ames, IA Metro Area",57421,1172,32165,860,25256,709,17469,1326,20581,1641,14803,1935,24086,1554,15007,1217,9079,849,2.1,1.7,2.8,2.4,1.0,1.3,4.3,1.9,2.9,1.4,6.6,4.3,22.5,3.9,19.1,4.3,28.1,8.0,15.4,3.2,11.1,4.0,22.5,5.6,21.5,4.2,20.2,5.2,23.5,7.2,14.7,2.9,16.4,3.8,12.0,5.0,5.5,2.1,8.3,3.3,0.9,1.0,7.2,2.0,8.9,2.5,4.3,2.7,6.8,2.2,10.3,3.3,1.0,1.2,(X),(X),43385,4125,31334,3046,47452,3424,55375,5480,34356,2633,32678,2967,41763,2048,24264,2439,21225,15206,38900,29202,14454,12937,28711,6045,35383,5720,22895,10863,26552,3711,30247,12847,24250,4574,34832,3620,42737,6349,24805,3407,44171,6554,60108,14343,28347,14091,12.0,(X),(X),(X),(X),(X)
3100000US11260,11260,"Anchorage, AK Metro Area",218749,2881,119887,2025,98862,2356,32849,1651,41305,2009,26893,1132,111525,4277,64727,2993,46798,2587,1.5,0.6,1.0,0.6,2.1,1.0,2.0,0.8,2.0,1.0,2.0,0.9,11.1,1.6,9.0,2.1,14.1,2.3,17.3,1.8,12.9,2.1,23.2,2.8,22.4,2.1,20.7,2.9,24.8,2.8,18.3,2.2,19.2,2.6,17.2,3.1,8.2,1.3,9.5,1.8,6.5,1.9,9.4,1.4,12.0,2.0,5.8,1.8,9.8,1.5,13.7,2.3,4.2,1.6,(X),(X),51706,1144,39177,2781,55906,2360,63082,3393,45981,2061,40964,1266,48883,2756,32738,1508,23517,2036,26017,5487,21393,5057,32215,2049,40822,5760,26520,2556,38944,3120,46631,2451,32265,2124,51380,1962,63568,5474,41631,3852,68849,4381,81920,7667,52020,5581,12.5,(X),(X),(X),(X),(X)
3100000US11300,11300,"Anderson, IN Metro Area",69954,1731,36623,1295,33331,1109,25016,1625,31220,1639,20018,1686,37990,2303,21829,1737,16161,1306,2.8,1.4,2.2,1.4,3.7,2.6,4.0,1.2,2.2,1.4,6.4,2.4,18.0,2.6,13.0,3.3,24.7,4.9,24.8,3.3,19.7,3.7,31.7,6.0,25.0,3.4,27.8,4.2,21.4,5.2,12.8,2.4,16.4,3.3,8.0,2.9,2.2,0.9,2.7,1.1,1.6,1.3,6.4,1.6,9.8,2.5,1.7,1.2,4.0,1.2,6.4,1.9,0.8,0.9,(X),(X),40787,1645,29492,1628,42880,2745,49425,2793,34040,4382,29127,1893,35648,2019,23594,2003,18186,3444,21129,3444,15302,3818,26225,2467,32442,3987,21347,2705,28983,2442,40598,5460,24544,3883,42061,3740,52622,8921,36438,4452,48216,8940,76495,27979,36444,14154,14.7,(X),(X),(X),(X),(X)
3100000US11340,11340,"Anderson, SC Metro Area",92197,2809,49088,1673,43109,1983,26111,1131,29252,1954,22003,2575,52609,2872,30922,1771,21687,1927,2.2,1.0,1.5,1.1,3.2,1.7,6.0,2.1,4.8,2.1,7.7,3.9,16.3,2.9,15.6,4.0,17.3,3.7,28.3,3.9,23.9,4.4,34.6,6.1,22.1,3.3,23.1,4.1,20.6,3.8,11.6,1.9,14.0,2.6,8.0,2.7,5.1,1.7,6.5,2.4,3.3,1.8,5.0,1.5,5.7,1.9,3.9,1.7,3.5,1.0,4.9,1.4,1.4,1.2,(X),(X),37986,2645,30973,1623,42477,2416,47435,3406,35408,2274,29632,1542,32319,2156,26066,1495,17491,2485,19654,3305,11758,2821,25798,1367,28547,1756,21640,4356,30918,1248,34651,3505,26784,2398,40912,3427,56667,9746,34366,2385,50997,7380,70858,8774,40319,15336,10.8,(X),(X),(X),(X),(X)
