GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC03_EST_VC18,HC03_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC03_EST_VC19,HC03_MOE_VC19,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC03_EST_VC20,HC03_MOE_VC20,HC01_EST_VC21,HC01_MOE_VC21,HC02_EST_VC21,HC02_MOE_VC21,HC03_EST_VC21,HC03_MOE_VC21,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC03_EST_VC23,HC03_MOE_VC23
Id,Id2,Geography,Total; Estimate; Population 16 years and over with earnings,Total; Margin of Error; Population 16 years and over with earnings,Male; Estimate; Population 16 years and over with earnings,Male; Margin of Error; Population 16 years and over with earnings,Female; Estimate; Population 16 years and over with earnings,Female; Margin of Error; Population 16 years and over with earnings,Total; Estimate; Population 16 years and over with earnings - Median earnings (dollars),Total; Margin of Error; Population 16 years and over with earnings - Median earnings (dollars),Male; Estimate; Population 16 years and over with earnings - Median earnings (dollars),Male; Margin of Error; Population 16 years and over with earnings - Median earnings (dollars),Female; Estimate; Population 16 years and over with earnings - Median earnings (dollars),Female; Margin of Error; Population 16 years and over with earnings - Median earnings (dollars),"Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $1 to $9,999 or loss","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $10,000 to $14,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $15,000 to $24,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $25,000 to $34,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $35,000 to $49,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $50,000 to $64,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $65,000 to $74,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $75,000 to $99,999","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - $100,000 or more","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Median earnings (dollars)","Total; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Total; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Male; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Male; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Female; Estimate; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)","Female; Margin of Error; Population 16 years and over with earnings - Full-time, year-round workers with earnings - Mean earnings (dollars)",Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - High school graduate (includes equivalency),Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Some college or associate's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Bachelor's degree,Total; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Male; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Estimate; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Female; Margin of Error; MEDIAN EARNINGS BY EDUCATIONAL ATTAINMENT - Population 25 years and over with earnings - Graduate or professional degree,Total; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Male; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Male; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months,Female; Estimate; PERCENT IMPUTED - Earnings in the past 12 months,Female; Margin of Error; PERCENT IMPUTED - Earnings in the past 12 months
1600000US0107000,0107000,"Birmingham city, Alabama",106386,5434,53502,3463,52884,3388,22280,980,23545,1149,21262,1034,61299,4180,30604,2891,30695,2681,1.5,0.8,1.5,1.2,1.6,0.8,5.1,1.5,4.2,1.8,6.0,2.2,30.2,4.0,27.6,4.7,32.8,5.1,21.9,3.0,19.6,3.9,24.2,4.2,21.8,2.9,21.1,4.2,22.5,4.1,9.7,2.0,13.3,3.2,6.2,2.4,3.0,1.1,2.2,1.1,3.8,1.9,3.0,1.3,4.6,2.1,1.3,1.2,3.8,1.1,5.9,1.7,1.7,1.2,(X),(X),32710,2952,29281,2415,38884,2414,43654,3167,34127,3417,25533,1504,27159,2454,24249,2218,16695,2352,18899,4742,11196,6228,21801,1723,24481,2798,19709,1988,24494,2273,24902,2613,23896,4292,36910,6731,50357,10928,33855,3858,48388,3997,50177,6264,45794,5615,12.6,(X),(X),(X),(X),(X)
1600000US0121184,0121184,"Dothan city, Alabama",31276,1590,16475,799,14801,1042,25054,1683,32030,2866,19838,1773,19127,1343,11051,841,8076,834,2.4,1.4,1.9,1.4,3.1,2.8,6.4,1.8,5.6,2.4,7.6,2.4,22.6,3.2,15.8,3.0,31.8,6.7,17.7,2.7,15.4,3.0,20.9,4.8,21.0,3.0,19.2,3.8,23.3,5.2,11.2,2.1,12.9,2.9,8.8,2.9,5.3,1.3,8.5,2.3,1.0,0.7,6.7,1.6,9.8,2.6,2.4,1.5,6.7,1.6,10.7,2.5,1.1,0.6,(X),(X),41744,2625,27192,1991,45504,2547,55244,3570,32175,1932,29962,2012,40190,2532,22707,2071,16758,3282,23384,2806,9934,2379,20919,2417,28212,4205,16831,1415,30803,2266,40598,3137,22692,1998,42352,5491,67538,10032,32046,7444,55335,7452,74931,20088,45636,4312,12.1,(X),(X),(X),(X),(X)
1600000US0135896,0135896,"Hoover city, Alabama",42598,3337,22847,2184,19751,1813,40717,3204,53300,9946,30555,1612,26899,2864,17224,1979,9675,1478,2.3,1.6,2.2,2.1,2.5,2.5,1.5,1.2,1.9,1.7,0.8,1.4,8.6,3.1,7.4,3.7,10.8,5.3,14.8,3.6,8.9,3.8,25.3,6.3,17.6,3.4,15.6,4.0,21.3,6.4,13.1,3.8,11.8,4.6,15.2,4.6,5.6,1.6,5.0,2.1,6.6,2.8,16.1,3.4,20.0,4.8,9.2,4.1,20.3,3.9,27.1,5.2,8.2,3.9,(X),(X),70273,12515,41679,5020,71306,6664,83087,8826,50334,5341,44750,3946,61520,9423,32250,3656,16652,13928,16576,12957,25309,45516,25120,14842,32270,22758,17768,7376,34723,6220,42105,9608,31478,1024,54583,5884,77388,7113,32010,5305,72669,14671,96983,11654,50629,6975,9.6,(X),(X),(X),(X),(X)
1600000US0137000,0137000,"Huntsville city, Alabama",91173,3882,47738,2689,43435,2342,23215,2211,29805,3544,19071,1491,48114,2944,28596,2105,19518,1901,2.3,1.0,1.5,1.0,3.4,2.0,4.9,1.4,5.2,2.1,4.6,1.9,20.3,3.3,15.3,3.2,27.7,5.7,14.2,2.5,13.5,3.4,15.1,3.8,19.9,2.6,15.0,3.4,27.0,4.8,11.5,2.1,12.6,3.2,9.9,3.1,4.4,1.3,5.2,2.0,3.4,1.6,9.9,2.0,13.8,3.0,4.1,2.1,12.7,1.9,18.0,2.4,4.9,2.6,(X),(X),48299,6119,33981,4842,53521,3047,62620,3956,40189,4128,32074,2412,40927,3465,24045,4148,15771,5216,14496,10164,16289,5548,18905,1839,23462,4864,16756,2446,26640,4051,30733,6979,23274,5026,43659,5604,58279,13515,35578,2951,57506,6428,87589,10610,43083,4006,16.2,(X),(X),(X),(X),(X)
1600000US0150000,0150000,"Mobile city, Alabama",95392,4471,45650,2746,49742,3097,21726,983,27775,2126,17083,1190,53170,3692,27895,2434,25275,2558,3.3,1.2,2.0,1.6,4.8,2.1,8.1,2.1,4.8,2.2,11.7,3.7,22.1,3.2,15.2,4.0,29.6,4.5,21.5,3.2,20.7,4.7,22.5,4.3,19.0,2.8,23.4,4.2,14.2,3.5,11.8,2.5,12.4,2.8,11.1,3.3,3.5,1.3,4.9,2.0,2.1,1.1,5.8,1.3,8.4,2.4,2.9,1.1,4.8,1.3,8.2,2.3,1.1,0.9,(X),(X),37897,4033,26523,2039,44499,3895,56450,7162,31309,2146,26796,1085,32759,3655,21059,1367,14301,2438,15117,2176,12292,4104,21354,2900,27409,5037,14374,2491,27281,1790,35267,4192,22557,2200,35072,4633,52110,12669,29951,2114,44481,5633,62492,30075,40536,3700,10.5,(X),(X),(X),(X),(X)
1600000US0151000,0151000,"Montgomery city, Alabama",104895,3099,51059,1809,53836,2335,25742,1451,31719,1925,21594,1918,62142,3191,33577,2210,28565,2031,3.0,1.1,1.8,1.1,4.5,2.0,5.8,1.7,4.9,2.7,6.9,2.3,19.4,3.1,14.9,3.7,24.8,4.7,17.9,2.3,14.9,3.2,21.4,3.7,24.0,3.0,27.1,4.1,20.4,4.2,12.0,1.9,13.3,2.8,10.5,2.3,5.2,1.3,5.1,2.1,5.3,2.0,6.0,1.3,7.6,1.9,4.2,1.6,6.6,1.3,10.6,2.2,2.0,1.5,(X),(X),40806,2642,31438,2121,48455,3039,58797,5881,36299,2430,31453,1225,38166,1938,26170,1471,15290,1440,16683,1753,13041,2181,21931,2636,26204,5669,18173,2011,31060,2007,39993,4698,26774,1699,38454,2718,49162,4867,34260,2520,53007,7429,61242,15009,50804,7679,17.1,(X),(X),(X),(X),(X)
1600000US0177256,0177256,"Tuscaloosa city, Alabama",41534,2972,20700,1946,20834,1842,17897,2802,20254,2704,15965,2732,17513,2295,10169,1558,7344,1439,4.4,3.6,7.1,6.0,0.7,1.1,4.5,2.8,1.8,2.1,8.2,6.0,26.2,6.6,20.4,8.5,34.3,10.5,13.2,4.1,12.1,5.8,14.8,5.7,26.0,5.6,25.0,7.1,27.5,8.8,11.1,3.5,15.5,6.2,5.1,3.7,3.5,1.8,5.1,3.0,1.3,1.6,3.3,2.1,2.9,2.0,3.9,3.8,7.6,3.2,10.1,4.2,4.3,3.6,(X),(X),38393,5257,30848,6874,46613,5899,52627,8391,38286,6938,31095,3258,36172,5368,25620,5642,15247,8756,10586,14593,15773,4950,21853,3709,24380,11196,20486,6243,26018,6638,31724,10225,22238,6137,35815,5510,38575,7689,32548,5382,51860,12893,61754,12168,45879,7688,16.8,(X),(X),(X),(X),(X)
1600000US0203000,0203000,"Anchorage municipality, Alaska",172538,2219,93678,1705,78860,1930,34478,1861,42871,2411,27759,1390,91657,3878,52857,2718,38800,2302,1.3,0.7,0.8,0.6,1.9,1.1,1.5,0.6,1.6,0.9,1.3,0.7,11.1,1.9,8.5,2.4,14.6,2.7,17.9,2.2,13.3,2.5,24.2,3.3,22.9,2.5,20.9,3.3,25.5,3.3,18.9,2.4,19.5,2.9,18.1,3.5,7.5,1.4,9.7,2.1,4.6,1.3,9.1,1.5,11.5,2.1,5.8,2.0,9.8,1.5,14.2,2.5,3.9,1.5,(X),(X),51705,1291,38115,2828,56137,2621,63799,3935,45699,2264,41405,1383,50124,2016,33365,1358,23276,2189,24062,6276,22870,2796,33169,2600,41642,6128,27936,3239,39329,2909,45942,2301,32955,2368,51158,1883,64939,6359,40419,4966,70531,3516,84204,9999,54770,6978,10.7,(X),(X),(X),(X),(X)
1600000US0404720,0404720,"Avondale city, Arizona",34945,3956,19440,2852,15505,2051,29444,2262,34750,3981,22685,3348,21184,2739,12395,1909,8789,1512,2.6,2.0,2.1,2.0,3.4,2.9,5.8,2.7,1.4,1.9,11.9,6.5,16.1,5.1,12.5,5.8,21.2,8.7,16.2,4.2,13.9,5.0,19.4,5.9,23.9,6.0,24.4,7.2,23.2,8.4,15.9,4.4,20.2,7.1,9.8,5.2,8.0,3.6,9.8,5.3,5.5,4.1,7.7,3.6,10.4,6.0,3.9,2.7,3.8,1.9,5.3,3.0,1.6,2.0,(X),(X),45905,4051,31419,3801,44741,2768,49803,4120,37601,4780,33796,3769,40936,5082,26049,5274,18750,1623,19600,7663,16439,3826,29872,5748,41177,10688,21335,4155,40641,5631,46755,9610,33592,7513,45137,13985,63160,22257,37035,14384,47087,8836,72744,54694,37024,20507,17.2,(X),(X),(X),(X),(X)
1600000US0412000,0412000,"Chandler city, Arizona",137795,7389,71857,4903,65938,4513,37320,2326,49781,3341,30100,1665,88021,5612,52453,4049,35568,3555,0.6,0.4,0.6,0.5,0.5,0.5,2.3,1.0,2.7,1.5,1.9,1.0,12.3,2.6,10.2,3.4,15.5,3.9,15.9,2.6,12.9,3.0,20.3,3.7,19.5,2.6,14.9,2.7,26.2,4.5,17.3,2.1,18.5,3.0,15.5,3.1,7.9,1.7,9.6,2.3,5.3,1.8,11.3,2.0,14.6,3.1,6.3,1.6,12.9,1.9,16.0,2.6,8.4,2.3,(X),(X),55070,4946,40824,1521,59513,2657,66001,3643,49944,3085,42964,2350,53969,3315,33088,3434,22662,7480,25587,10830,21086,7453,35030,5718,41062,7561,28543,4945,38245,3545,51441,2948,30309,4587,54875,4562,65417,4066,41281,3462,70705,8287,89936,5953,57124,7899,13.9,(X),(X),(X),(X),(X)
1600000US0427400,0427400,"Gilbert town, Arizona",106640,5295,57950,3473,48690,3298,40447,1903,51563,1235,30812,1629,65342,4087,39864,2644,25478,2428,1.3,0.6,0.9,0.8,1.9,1.4,1.0,0.6,1.1,1.0,0.9,0.7,9.5,1.9,7.9,2.2,12.0,3.3,13.2,2.1,7.7,2.2,22.0,3.8,21.0,2.9,17.0,3.4,27.1,5.0,20.1,3.3,21.7,4.2,17.7,3.9,8.6,1.7,10.5,2.5,5.5,2.1,12.6,2.1,16.5,3.2,6.3,2.4,12.7,2.2,16.6,2.9,6.7,2.7,(X),(X),60209,5010,41174,1673,62209,3374,70496,4582,49241,4353,46840,2615,56828,3814,33649,3614,28128,4568,31272,10016,15919,9855,35308,6557,45346,6302,26467,2933,42050,3390,51574,1343,32118,3746,55497,4098,71609,6443,39689,7106,70157,6569,82243,4613,55605,6941,11.0,(X),(X),(X),(X),(X)
1600000US0427820,0427820,"Glendale city, Arizona",128744,7178,70950,4816,57794,3621,27982,1927,32374,3218,25277,1559,76560,5211,45841,3561,30719,2812,1.0,0.6,0.9,0.8,1.2,1.2,5.8,2.5,4.7,2.4,7.3,4.3,17.0,2.5,16.5,3.0,17.7,4.4,20.3,2.9,15.8,2.9,27.2,5.2,23.7,2.5,22.9,3.2,24.8,4.1,14.2,2.0,16.9,2.8,10.1,2.8,4.6,1.2,5.4,1.6,3.5,1.7,6.7,1.4,7.4,1.8,5.6,2.1,6.7,1.4,9.4,2.1,2.7,1.5,(X),(X),40343,2041,32432,2576,46096,2186,50803,3008,39072,2025,32247,1546,37400,1826,27694,2050,21729,2156,23849,2852,18114,5019,27137,1881,28897,2931,25128,2521,36319,1276,42951,2923,28003,3670,45431,7474,56860,7558,36360,4559,53528,6696,63342,13911,49475,7294,18.9,(X),(X),(X),(X),(X)
1600000US0446000,0446000,"Mesa city, Arizona",255634,10499,147469,7430,108165,5692,27510,1253,31359,1331,23820,1655,154214,8540,97439,6261,56775,4333,1.1,0.5,0.7,0.5,1.9,0.9,5.8,1.2,5.2,1.6,6.8,2.1,20.3,2.2,18.3,2.5,23.9,4.0,21.9,2.1,20.5,2.4,24.2,3.2,20.5,1.9,20.0,2.3,21.4,3.0,13.7,1.6,14.6,2.2,12.2,2.4,3.5,0.7,4.3,1.0,2.1,0.8,7.2,0.9,8.6,1.3,4.8,1.4,5.9,0.9,7.8,1.4,2.8,1.0,(X),(X),37546,2310,31786,1613,45133,1823,49479,2791,37676,1891,32323,1273,36468,1684,27167,1523,21846,1578,25403,3145,16966,3654,29698,2546,33296,2576,25044,2184,32360,1841,39825,2892,27164,2147,44532,3164,53324,7835,37566,3594,56253,5860,76703,18215,50293,7520,19.5,(X),(X),(X),(X),(X)
